rangos_sepal_length,rangos_ sepal_width,rangos_ petal_length,rangos_ petal_width
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[2.9, 3.0)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.8, 7.1)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.5, 5.8)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.5, 5.8)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.5, 5.8)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.5, 5.8)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[2.0, 2.5)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.3, 4.9)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.4, 5.4)","[1.0, 3.0)","[0.1, 1.0)"
"[4.9, 5.5)","[3.0, 3.4)","[1.0, 3.0)","[0.1, 1.0)"
"[5.8, 7.1)","[3.0, 3.4)","[3.0, 4.8)","[1.4, 1.8)"
"[5.8, 7.1)","[3.0, 3.4)","[3.0, 4.8)","[1.4, 1.8)"
"[5.8, 7.1)","[3.0, 3.4)","[4.8, 5.0)","[1.4, 1.8)"
"[5.5, 5.8)","[2.0, 2.5)","[3.0, 4.8)","[1.0, 1.4)"
"[5.8, 7.1)","[2.5, 2.9)","[3.0, 4.8)","[1.4, 1.8)"
"[5.5, 5.8)","[2.5, 2.9)","[3.0, 4.8)","[1.0, 1.4)"
